OLT,F,S,P,Código QR,Cuenta,Latitud,Longitud,Capacidad,Ubicacion
ALDAMA_2_JUA,3,1,3,TP254258,0142336955,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0126648500,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0109388194,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0135467878,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0141160973,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0107615238,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0121129511,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0141249147,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0142804210,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0143183828,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0141211229,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0141552500,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254259,0141622759,31.76748,-106.555171,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0141278001,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0142468671,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0133688519,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0143136304,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0108486527,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0140681669,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0142283325,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0116171931,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255427,0125282100,31.767987,-106.55761,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0135209100,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0107538206,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0142906010,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0143018980,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0142483669,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0107806260,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0108288911,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0142767843,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0143371902,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0142273058,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0108871814,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0143136137,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP255428,0141247954,31.768369,-106.560962,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP249788,0140190728,31.775588,-106.568078,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP249788,0142802683,31.775588,-106.568078,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP249788,0143003443,31.775588,-106.568078,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP249788,0143302342,31.775588,-106.568078,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP249788,0140934196,31.775588,-106.568078,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP249788,0109860054,31.775588,-106.568078,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0142247571,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0142367543,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0143017655,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0140732650,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0140677708,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0108883579,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0143026137,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0143095367,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250131,0142236849,31.777362,-106.569766,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250807,0107538583,31.777787,-106.573234,1:16,Poste
